f89f	G6a
f8a0	G69
f8a1	G6b
f8a2	G68
f8a3	E5d
f8a7	F5f
f8a8	F60
f8a9	F61
f8aa	F62
f8ab	F63
f8ac	F64
f8ad	F65
f8ae	F66
f8af	F67
f8b0	F68
f8b1	F69
f8b2	F6a
f8b3	G26
f8b4	G36
f8b5	G34
f8b6	G35
f8b7	F38
f8b8	G33
f8ba	E52
f8bc	G3e
f8bd	G3e
f8be	G3f
f8bf	G3b
f8c0	G3b
f8c1	E79
f8c2	F22
f8c3	G3d
f8c4	G56
f8c5	G58
f8c6	E73
f8c7	E75
f8c8	E6d
f8c9	E74
f8ca	E76
f8cb	E76
f8cc	G5a
f8cd	E6f
f8ce	E6e
f8cf	E71
f8d0	G63
f8d1	G65
f8d2	G64
f8d3	G67
f8d4	E40
f8d5	E5e
f8d7	G5c
f8d8	G5d
f8d9	F56
f8da	E44
f8df	E45
f8e1	F28
f8e2	G28
f8e3	E3e
f8e4	E68
f8e6	E32
f8e8	G29
f8e9	G2a
f8eb	E4a
f8ed	E46
f8ee	F2c
f8ef	F2e
f8f0	F2d
f8f1	F2f
f8f4	G30
f8f5	G31
f8f6	G32
f8f7	F58
f8f8	F57
f8fa	G27
f8fc	F2a
f945	G72
f946	G6f
f947	G3c
f948	G53
f949	F59
f951	E4f
f95e	G4d
f972	E24
f973	E23
f977	E23
f97a	F35
f97b	F36
f981	E34
f982	F32
f984	F31
f985	F30
f987	F3c
f988	F3d
f989	F3e
f98a	F3f
f98b	F40
f98c	F41
f98d	F42
f98e	F43
f98f	F44
f990	F45
f991	G42
f993	G43
f995	G76
f996	G79
f997	G78
f998	G78
f999	E27
f99a	F56
f99b	G5e
f99c	E43
f99e	G23
f9a0	E2f
f9a1	G79
f9a2	G2d
f9a5	F58
f9a6	E5c
f9a7	G41
