E21	129	f6f4	メールボックス
E22	108	f6fa	封筒
E23	151	f7ae	封筒２
E24	513	f7df	終了
E25	264	f6c0	からかう（あっかんべえ）
E26	266	f650	ハート３（大きい＆小さい）
E27	327	f7cb	ふらふら
E28	330	f7ce	あせあせ（飛び散る汗）
E29	249	f6b2	さる
E2b	254	f6b7	ぶた
E2c	274	f6c5	宇宙人
E2f	77	f64e	電球
E30	53	f6ec	四つ葉
E31	273	f6c4	キスマーク
E32	144	f6a8	プレゼント
E33	296	f6e3	アクション（ピストル）
E34	119	f6f1	むしめがね
E35	218	f643	マラソン
E37	76	f644	スパーク
E38	133	f6a7	はっぱ
E3a	277	f6c8	悪魔
E3b	236	f6a4	お化け
E3c	286	f6d1	どくろ
E3d	269	f653	炎
E3e	83	f674	ブリーフケース(ハンドバック）
E40	245	f6af	ハンバーガー（ファーストフード）
E43	224	f695	温泉
E44	223	f645	遊園地
E45	106	f676	チケット・キップ
E46	300	f6e5	CD/DVD
E49	115	f79d	ビデオテープ
E4a	288	f6db	テレビ
E4b	232	f69f	ゲームのコントローラ
E50	231	f69e	当選弓矢
E52	222	f692	チェッカーフラグ（モータースポーツ）
E53	229	f646	スロット（７７７）
E5b	304	f6e9	注射器（血）
E5c	261	f64d	眠い（ＺＺＺ…）
E5e	124	f6f3	くつ
E60	207	f67d	トイレ
E61	13	f6ea	スピーカ
E62	13	f6ea	スピーカ
E63	237	f6a5	旗（祝日・日の丸）
E64	138	f6f5	錠前
E65	138	f6f5	錠前
E66	227	f698	夜の橋
E68	122	f677	ノート２（開）
E6b	210	f681	ｱﾝﾃﾅ（位置情報ﾏｰｸ）
E6c	271	f6c2	力こぶ
E6d	212	f683	銀行
E6e	99	f642	信号
E6f	208	f67e	パーキング
E70	209	f680	バス停
E71	207	f67d	トイレ
E73	129	f6f4	メールボックス
E74	205	f67b	ＡＴＭ 
E75	304	f6e9	注射器（血）
E76	206	f67c	２４HOURS（コンビニ)
E79	216	f688	バス
E7a	125	f68a	車
F22	169	f68d	ボート(船）
F24	328	f7cc	かわいい
F25	278	f6c9	花丸
F26	278	f6c9	花丸
F28	177	f656	禁煙
F29	179	f658	若葉マーク
F2a	178	f657	車椅子
F2c	51	f7b2	ハート
F2d	315	f7bf	ダイヤ
F2e	314	f7be	スペード
F2f	316	f7c0	クラブ
F32	334	f7e5	NEW
F33	303	f6e8	更新（ＵＰ！）
F36	299	f795	無料（ＦＲＥＥ）
F39	41	f767	大丸２
F3a	38	f764	特大四角１
F3b	39	f765	特大四角２
F3c	180	f6fb	四角数字１
F3d	181	f6fc	四角数字2
F3e	182	f740	四角数字3
F3f	183	f741	四角数字4
F40	184	f742	四角数字5
F41	185	f743	四角数字6
F42	186	f744	四角数字7
F43	187	f745	四角数字8
F44	188	f746	四角数字9
F45	189	f747	四角数字10
F46	285	f6d0	マル得
F4e	29	f75b	上矢印１
F4f	30	f75c	下矢印１
F50	140	f6d8	指差し確認左
F51	141	f6d9	指差し確認右
F52	29	f75b	上矢印１
F53	30	f75c	下矢印１
F54	63	f76e	右矢印１
F55	64	f76f	左矢印１
F56	70	f771	右矢印２
F57	42	f768	上矢印２
F58	43	f769	下矢印２
F59	71	f772	左矢印２
F5a	6	f74a	右向き三角１
F5b	5	f749	左向き三角１
F5c	8	f74c	右向き三角２
F5d	7	f74b	左向き三角２
